District,Province,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Bugesera,East,"266,775","273,711","280,828","288,129","295,621","303,307","311,193","319,284","327,585",336102.2157,"361,914","371,324","380,978","390,884","401,047","411,474","422,172","433,149","444,410","455,965","551,103","565,432"
Gatsibo,East,"283,456","290,826","298,387","306,145","314,105","322,272","330,651","339,248","348,068",357118.132,"433,020","444,279","455,830","467,681","479,841","492,317","505,117","518,250","531,725","545,550","551,164","565,494"
Kayonza,East,"209,723","215,176","220,770","226,510","232,400","238,442","244,642","251,002","257,528",264224.0277,"344,157","353,105","362,286","371,705","381,370","391,285","401,459","411,897","422,606","433,594","457,156","469,042"
Kirehe,East,"229,468","235,434","241,555","247,836","254,280","260,891","267,674","274,634","281,774",289100.1902,"340,368","349,218","358,297","367,613","377,171","386,977","397,039","407,362","417,953","428,820","460,860","472,842"
Ngoma,East,"235,109","241,222","247,494","253,928","260,531","267,304","274,254","281,385","288,701",296207.1253,"336,928","345,688","354,676","363,898","373,359","383,066","393,026","403,245","413,729","424,486","404,048","414,553"
Nyagatare,East,"255,104","261,737","268,542","275,524","282,688","290,037","297,578","305,315","313,254",321398.2556,"465,855","477,967","490,394","503,145","516,226","529,648","543,419","557,548","572,044","586,917","653,861","670,861"
Rwamagana,East,"220,502","226,235","232,117","238,152","244,344","250,697","257,215","263,903","270,764",277804.1825,"313,461","321,611","329,973","338,552","347,355","356,386","365,652","375,159","384,913","394,921","484,953","497,562"
Gasabo,Kigali,"320,516","328,849","337,400","346,172","355,172","364,407","373,881","383,602","393,576",403808.9693,"529,561","543,330","557,456","571,950","586,821","602,078","617,732","633,793","650,272","667,179","879,505","902,372"
Kicukiro,Kigali,"207,819","213,222","218,766","224,454","230,290","236,277","242,421","248,723","255,190",261825.2324,"318,564","326,847","335,345","344,064","353,009","362,188","371,604","381,266","391,179","401,350","491,731","504,516"
Nyarugenge,Kigali,"236,990","243,152","249,474","255,960","262,615","269,443","276,448","283,636","291,011",298576.9435,"284,561","291,960","299,551","307,339","315,330","323,528","331,940","340,570","349,425","358,510","374,319","384,051"
Burera,North,"320,759","329,099","337,655","346,434","355,442","364,683","374,165","383,893","393,874",404115.1181,"336,582","345,333","354,312","363,524","372,976","382,673","392,622","402,831","413,304","424,050","387,729","397,810"
Gakenke,North,"322,043","330,416","339,007","347,821","356,864","366,143","375,663","385,430","395,451",405732.7931,"338,234","347,028","356,051","365,308","374,806","384,551","394,549","404,808","415,333","426,131","365,292","374,790"
Gicumbi,North,"359,716","369,069","378,664","388,510","398,611","408,975","419,608","430,518","441,711",453195.9316,"395,606","405,892","416,445","427,273","438,382","449,780","461,474","473,472","485,782","498,413","448,824","460,493"
Musanze,North,"307,078","315,062","323,254","331,658","340,281","349,129","358,206","367,519","377,075",386878.8163,"368,267","377,842","387,666","397,745","408,087","418,697","429,583","440,752","452,212","463,969","476,522","488,912"
Rulindo,North,"251,266","257,799","264,502","271,379","278,435","285,674","293,101","300,722","308,541",316562.8689,"287,681","295,161","302,835","310,709","318,787","327,075","335,579","344,305","353,256","362,441","360,144","369,508"
Karongi,West,"278,944","286,197","293,638","301,272","309,105","317,142","325,388","333,848","342,528",351433.5919,"331,808","340,435","349,286","358,368","367,685","377,245","387,054","397,117","407,442","418,035","373,869","383,590"
Ngororero,West,"282,249","289,587","297,117","304,842","312,768","320,900","329,243","337,803","346,586",355597.4671,"333,713","342,390","351,292","360,425","369,796","379,411","389,276","399,397","409,781","420,435","367,955","377,522"
Nyabihu,West,"268,367","275,345","282,504","289,849","297,385","305,117","313,050","321,189","329,540",338107.9312,"294,740","302,403","310,266","318,333","326,609","335,101","343,814","352,753","361,924","371,335","319,047","327,342"
Nyamasheke,West,"325,032","333,483","342,153","351,049","360,177","369,541","379,149","389,007","399,121",409498.5489,"381,804","391,731","401,916","412,366","423,087","434,087","445,374","456,953","468,834","481,024","434,221","445,511"
Rubavu,West,"292,653","300,262","308,069","316,079","324,297","332,728","341,379","350,255","359,362",368705.1701,"403,662","414,157","424,925","435,973","447,309","458,939","470,871","483,114","495,675","508,562","546,683","560,897"
Rusizi,West,"331,950","340,581","349,436","358,521","367,843","377,407","387,219","397,287","407,616",418214.3399,"400,858","411,280","421,974","432,945","444,201","455,751","467,600","479,758","492,232","505,030","485,529","498,153"
Rutsiro,West,"264,360","271,233","278,285","285,521","292,944","300,561","308,376","316,393","324,620",333059.6261,"324,654","333,095","341,755","350,641","359,758","369,111","378,708","388,555","398,657","409,022","369,180","378,779"
Gisagara,South,"262,128","268,943","275,936","283,110","290,471","298,023","305,772","313,722","321,879",330247.593,"322,506","330,891","339,494","348,321","357,378","366,669","376,203","385,984","396,020","406,316","397,051","407,374"
Huye,South,"265,446","272,348","279,429","286,694","294,148","301,796","309,642","317,693","325,953",334427.8465,"328,398","336,936","345,697","354,685","363,907","373,368","383,076","393,036","403,255","413,739","381,900","391,829"
Kamonyi,South,"261,336","268,131","275,102","282,255","289,593","297,123","304,848","312,774","320,906",329249.7747,"340,501","349,354","358,437","367,757","377,318","387,129","397,194","407,521","418,116","428,988","450,849","462,571"
Muhanga,South,"287,219","294,687","302,349","310,210","318,275","326,550","335,041","343,752","352,689",361859.0284,"319,141","327,439","335,952","344,687","353,649","362,844","372,277","381,957","391,888","402,077","358,433","367,752"
Nyamagabe,South,"280,007","287,287","294,757","302,420","310,283","318,351","326,628","335,120","343,833",352772.8353,"341,491","350,370","359,479","368,826","378,415","388,254","398,349","408,706","419,332","430,235","371,501","381,160"
Nyanza,South,"225,209","231,064","237,072","243,236","249,560","256,049","262,706","269,536","276,544",283734.3976,"323,719","332,136","340,771","349,631","358,722","368,048","377,618","387,436","397,509","407,844","365,718","375,227"
Nyaruguru,South,"231,496","237,515","243,690","250,026","256,527","263,197","270,040","277,061","284,264",291655.2096,"294,334","301,987","309,838","317,894","326,159","334,640","343,340","352,267","361,426","370,823","318,126","326,397"
Ruhango,South,"245,833","252,225","258,782","265,511","272,414","279,497","286,764","294,220","301,869",309717.9871,"319,885","328,202","336,735","345,490","354,473","363,689","373,145","382,847","392,801","403,014","359,121","368,458"
